"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
263,"小松　菜奈",17.0,56.2,0.5,7.9,24.3,3.0,13.5,10.2,5.9
263,"市川　紗椰",17.0,50.2,3.5,7.0,20.5,5.0,7.2,5.5,5.8
265,"長谷川　京子",16.8,85.3,1.3,7.7,23.3,4.2,7.7,13.0,33.1
265,"黒沢　かずこ",16.8,85.3,42.4,1.2,34.1,1.8,1.9,0.5,1.0
265,"原田　美枝子",16.8,70.3,1.3,3.8,20.5,8.3,2.4,6.6,33.4
268,"村上　佳菜子",16.5,84.4,17.0,5.7,26.4,2.8,10.8,2.6,2.3
269,"森川　葵",16.4,40.9,3.5,7.4,15.1,3.4,13.1,4.6,2.0
270,"市川　実日子",16.2,52.1,2.8,4.1,27.4,5.3,2.7,6.7,10.1
270,"黒島　結菜",16.2,51.6,1.1,9.4,14.6,2.3,17.6,2.3,3.7
272,"磯野　貴理子",16.1,92.2,35.2,2.1,34.0,4.9,2.0,1.2,6.8
272,"寺島　しのぶ",16.1,87.4,1.4,3.9,28.8,10.5,1.3,9.9,36.9
272,"土屋　アンナ",16.1,87.6,8.5,3.4,42.5,4.3,3.5,21.6,14.5
272,"久本　雅美",16.1,95.8,41.8,1.8,39.9,5.3,1.6,2.1,4.3
