"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
219,"ＤＥＡＮ　ＦＵＪＩＯＫＡ",8.8,40.5,2.2,4.4,4.8,1.3,0.9,15.0,9.7
219,"堂本　光一",8.8,39.6,2.6,2.2,4.4,1.8,0.4,12.8,5.7
219,"ユ－スケ・サンタマリア",8.8,36.1,7.0,1.3,7.9,2.2,0.4,1.8,4.8
219,"山崎　育三郎",8.8,34.8,2.2,2.6,3.5,0.9,0.9,6.6,4.0
219,"山本　耕史",8.8,34.4,4.0,2.6,6.6,2.2,0.4,5.3,10.6
219,"吉川　晃司",8.8,31.3,1.3,1.3,3.1,2.6,0.4,10.1,14.5
219,"佐藤　浩市",8.8,30.0,1.8,1.3,5.3,2.6,0,7.0,15.4
219,"松下　洸平",8.8,30.0,1.3,3.1,2.2,1.8,0.9,11.0,3.1
219,"満島　真之介",8.8,29.1,9.3,0.9,3.5,1.8,0.9,6.6,2.6
233,"加藤　浩次",8.4,57.7,14.1,0.9,7.5,2.6,0.4,0.9,5.7
233,"岩井　勇気",8.4,42.3,15.9,0.4,7.0,2.2,0.9,1.3,1.8
233,"佐藤　隆太",8.4,40.1,4.4,1.8,6.6,2.2,0,5.7,4.0
233,"つるの　剛士",8.4,39.6,6.2,0.4,5.3,1.8,0.4,4.0,3.1
233,"高橋　克実",8.4,35.2,7.0,0.9,9.7,4.0,1.8,0.4,6.2
233,"岩田　剛典",8.4,35.2,1.3,3.1,2.2,0.4,1.3,17.6,6.2
233,"江口　洋介",8.4,32.6,0.4,1.8,1.3,3.1,0,10.6,13.7
233,"滝藤　賢一",8.4,32.6,4.8,0,10.1,1.3,0.4,4.8,9.3
233,"中川　大志",8.4,33.9,1.8,2.2,2.6,0.9,3.1,14.5,2.2
233,"尾上　松也",8.4,32.2,5.3,0.4,6.2,2.2,0,6.2,2.6
233,"磯村　勇斗",8.4,25.1,0.4,1.8,2.2,0.4,1.8,10.6,2.2
233,"鈴鹿　央士",8.4,28.2,1.3,3.1,1.8,1.3,5.7,7.0,1.3
245,"ウエンツ　瑛士",7.9,44.9,8.4,1.8,3.5,0.4,0.4,7.9,1.8
245,"新田　真剣佑",7.9,37.9,0.4,2.6,2.6,0.4,0.9,20.3,2.6
245,"小手　伸也",7.9,36.6,6.2,0.4,11.0,1.3,0.4,1.8,5.3
245,"城田　優",7.9,37.0,2.6,2.6,2.6,1.3,0.4,14.5,4.8
245,"舘　ひろし",7.9,35.2,0.9,1.8,3.5,3.5,0.4,8.8,15.0
245,"中村　獅童",7.9,36.6,3.1,0.9,9.3,1.8,0.4,3.5,6.6
245,"柳葉　敏郎",7.9,35.7,1.8,0.9,4.0,2.2,0.9,4.8,14.5
245,"川平　慈英",7.9,35.2,7.5,1.3,7.9,2.6,0,3.5,4.0
245,"横山　裕",7.9,34.4,10.6,0.4,3.1,0.9,0.4,3.5,1.8
245,"森本　慎太郎",7.9,29.1,4.4,1.3,1.8,1.3,0.9,9.3,2.6
245,"眞栄田　郷敦",7.9,28.6,0.9,1.3,2.2,0.9,1.8,15.0,1.3
245,"本木　雅弘",7.9,26.4,1.8,0.4,4.0,3.1,0.4,5.7,12.8
257,"土田　晃之",7.5,41.0,11.9,0.9,6.6,1.3,0,1.3,2.6
257,"北大路　欣也",7.5,34.8,0.9,0.4,3.5,3.5,0.4,4.8,13.2
257,"大橋　和也",7.5,36.6,7.0,1.8,1.8,0.4,10.1,6.6,1.8
257,"笹野　高史",7.5,34.8,3.5,0.9,7.9,3.5,1.8,2.2,7.0
257,"古田　新太",7.5,33.5,6.2,0.4,11.9,2.6,0.4,1.3,4.4
257,"佐々木　蔵之介",7.5,30.0,0.4,0.9,4.8,2.6,0,4.8,9.3
257,"瀬戸　康史",7.5,30.0,2.6,3.1,2.2,2.2,2.2,12.3,2.6
257,"成田　凌",7.5,31.3,0,1.8,2.6,1.8,1.3,11.5,4.8
257,"藤井　隆",7.5,32.6,14.1,1.3,7.0,2.2,0.9,0.9,1.8
257,"赤楚　衛二",7.5,27.3,1.3,4.4,1.8,2.2,3.1,11.9,3.1
257,"仲村　トオル",7.5,26.9,1.8,3.1,3.5,2.6,1.3,7.5,12.8
257,"安田　顕",7.5,28.2,5.3,0.4,4.8,2.2,0.9,3.1,8.4
269,"南原　清隆",7.0,48.0,15.9,0.4,5.3,4.0,1.3,1.8,2.2
269,"ビビる大木",7.0,46.7,13.2,0.4,7.9,0.9,1.3,0,1.8
269,"木梨　憲武",7.0,43.2,11.9,0.4,10.1,2.2,0.4,2.6,7.0
269,"玉森　裕太",7.0,33.5,2.6,3.1,1.8,0.9,3.1,11.5,2.2
269,"リリ－・フランキ－",7.0,33.0,3.5,0,7.5,2.6,0,2.2,9.7
269,"六角　精児",7.0,33.9,6.6,1.3,11.5,1.8,0.4,1.3,4.8
269,"高橋　文哉",7.0,29.5,0.4,4.8,1.3,0.9,4.0,13.7,1.3
269,"渡辺　翔太",7.0,30.4,2.6,4.8,0.9,0.9,1.3,11.9,3.1
